id,title,year,medium,dimension,description,additional_information,provenance,exhibitions,image,location,created_at,updated_at,deleted_at,author_id,copyright_line,source_book,source_photo,other_source,owner_id,status
66,,,,,,,,,artworks/June2025/WmJ1R8SVRYnAuh8BYdn3.png,N/A,2025-06-12 10:51:19,2025-06-12 10:51:19,,33,,,,,51,incomplet
67,,,,,,,,,artworks/June2025/O4GBDmHLq5BY8fJyEUd7.png,N/A,2025-06-12 10:51:56,2025-06-12 10:51:56,,33,,,,,51,Completed
68,,,,,,,,,artworks/June2025/kUySnM3lyuCcmQCVOnOI.png,N/A,2025-06-12 11:04:32,2025-06-12 11:04:32,,33,,,,,51,incomplet
69,,,,,,,,,artworks/June2025/qqhSsbgzWf44clJuFTpq.png,N/A,2025-06-12 11:04:58,2025-06-12 11:04:58,,33,,,,,51,incomplet
70,,,,,,,,,artworks/June2025/RsEVfdP8cKK97OaRa3ZI.png,N/A,2025-06-12 11:05:43,2025-06-12 11:05:43,,33,,,,,51,incomplet
71,,,,,,,,,artworks/June2025/FOlKrnuqSHw1I2pfZb3E.png,N/A,2025-06-12 11:08:09,2025-06-12 11:08:09,,33,,أرشيف مشاركات الفنان,,,51,incomplet
72,,,,,,,,,artworks/June2025/2T6YDLYAIjAUrW5k7NH7.png,N/A,2025-06-12 11:08:47,2025-06-12 11:08:47,,33,,أرشيف مشاركات الفنان,,,51,incomplet
73,,,,,,,,,artworks/June2025/dPDhcRYf5pzpRM50pVBv.png,N/A,2025-06-12 11:11:55,2025-06-12 11:11:55,,33,,أرشيف مشاركات الفنان,,,51,incomplet
74,,,,,,,,,artworks/June2025/JtzIFFMLhVpIJ0L5y4Zv.png,N/A,2025-06-12 11:12:33,2025-06-12 11:12:33,,33,,أرشيف مشاركات الفنان,,,51,incomplet
75,,,,,,,,,artworks/June2025/4JTOXT1bHIBZGPbdWcyP.png,N/A,2025-06-12 11:13:09,2025-06-12 11:13:09,,33,,أرشيف مشاركات الفنان,,,51,incomplet
76,,,,,,,,,artworks/June2025/0uP3lo9Q7aijPDa2MuEU.png,N/A,2025-06-12 11:13:38,2025-06-12 11:13:38,,33,,أرشيف مشاركات الفنان,,,51,incomplet
77,مركز جمجوم التجاري، جدة معرض الراحل عبد الحليم رضوي,1985,,,,,,,artworks/June2025/Z9RmnUCgEe2OW8HK27S6.png,N/A,2025-06-12 11:15:08,2025-06-12 11:15:08,,33,,مركز جمجوم التجاري، جدة معرض الراحل عبد الحليم رضوي ويظهر الفنان محمّد رضا وارس، 1985م,,,59,incomplet
78,كتالوج معرض 55 فنانا يظهر الفنان محمد رضا وارس,1987,,,,,,,artworks/June2025/7XF5a2dNLJ5DKBd2xfqV.png,N/A,2025-06-12 11:16:18,2025-06-12 11:16:18,,33,,كتالوج معرض 55 فنانا يظهر الفنان محمد رضا وارس، 1987م,,,59,incomplet
